# Samples from Claire Morraine (unpublished)
# eq = emerging queen; oq = old queen; ew = emerging worker; ow = old worker
#
Fe	MO	emergingQueen	0	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/Fexs-EQ.CpGhsm.mcalls
Fe	MO	emergingQueen	0	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/Fexs-EQ.CpGscd.mcalls
Fe	MO	oldQueen	0	CpGhsm	../MCALLS/Fe/Old/OldQueen/Fexs-OQ.CpGhsm.mcalls
Fe	MO	oldQueen	0	CpGscd	../MCALLS/Fe/Old/OldQueen/Fexs-OQ.CpGscd.mcalls

Fe	MO	emergingWorker	0	CpGhsm	../MCALLS/Fe/Emerging/EmergingWorker/Fexs-EW.CpGhsm.mcalls
Fe	MO	emergingWorker	0	CpGscd	../MCALLS/Fe/Emerging/EmergingWorker/Fexs-EW.CpGscd.mcalls
Fe	MO	oldWorker	0	CpGhsm	../MCALLS/Fe/Old/OldWorker/Fexs-OW.CpGhsm.mcalls
Fe	MO	oldWorker	0	CpGscd	../MCALLS/Fe/Old/OldWorker/Fexs-OW.CpGscd.mcalls

# Replicates:
Fe	MO	emergingQueen	1	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/replicate1/Fexs-EQ1.CpGhsm.mcalls
Fe	MO	emergingQueen	1	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/replicate1/Fexs-EQ1.CpGscd.mcalls
Fe	MO	emergingQueen	2	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/replicate2/Fexs-EQ2.CpGhsm.mcalls
Fe	MO	emergingQueen	2	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/replicate2/Fexs-EQ2.CpGscd.mcalls
Fe	MO	emergingQueen	3	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/replicate3/Fexs-EQ3.CpGhsm.mcalls
Fe	MO	emergingQueen	3	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/replicate3/Fexs-EQ3.CpGscd.mcalls
Fe	MO	emergingQueen	4	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/replicate4/Fexs-EQ4.CpGhsm.mcalls
Fe	MO	emergingQueen	4	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/replicate4/Fexs-EQ4.CpGscd.mcalls
Fe	MO	emergingQueen	5	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/replicate5/Fexs-EQ5.CpGhsm.mcalls
Fe	MO	emergingQueen	5	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/replicate5/Fexs-EQ5.CpGscd.mcalls
Fe	MO	emergingQueen	6	CpGhsm	../MCALLS/Fe/Emerging/EmergingQueen/replicate6/Fexs-EQ6.CpGhsm.mcalls
Fe	MO	emergingQueen	6	CpGscd	../MCALLS/Fe/Emerging/EmergingQueen/replicate6/Fexs-EQ6.CpGscd.mcalls

Fe	MO	oldQueen	1	CpGhsm	../MCALLS/Fe/Old/OldQueen/replicate1/Fexs-OQ1.CpGhsm.mcalls
Fe	MO	oldQueen	1	CpGscd	../MCALLS/Fe/Old/OldQueen/replicate1/Fexs-OQ1.CpGscd.mcalls
#Fe	MO	oldQueen	2	CpGhsm	../MCALLS/Fe/Old/OldQueen/replicate2/Fexs-OQ2.CpGhsm.mcalls
#Fe	MO	oldQueen	2	CpGscd	../MCALLS/Fe/Old/OldQueen/replicate2/Fexs-OQ2.CpGscd.mcalls
Fe	MO	oldQueen	3	CpGhsm	../MCALLS/Fe/Old/OldQueen/replicate3/Fexs-OQ3.CpGhsm.mcalls
Fe	MO	oldQueen	3	CpGscd	../MCALLS/Fe/Old/OldQueen/replicate3/Fexs-OQ3.CpGscd.mcalls
